쫀득 라이스파이 플레인	A12030301
쫀득 라이스파이 초코	A12030302
만다린 허니브레드	A12030303
라즈베리 파운드 페스츄리	A12030304
뺑오쇼콜라	A12030305
푀이테쇼콜라	A12030306
바통쉬크레 (4개입)	A12030307
정통 크라상	A12030308
몽블랑 데니쉬	A12030309
퀸아망	A12030310
더블 치즈 브레드	A12030311
마카다미아 데니쉬	A12030312
블루베리 머핀	A12030313
블랙쿠키 머핀	A12030314
플레인 스콘	A12030315
옥수수 스콘	A12030316
크랜베리 스콘	A12030317
팥 앤 버터 스콘	A12030318
에그 타르트	A12030319
콰트로 치즈 타르트	A12030320
어니언 베이글	A12030321
치즈 베이글	A12030322
시나몬 레이진 베이글	A12030323
허니 브레드+젤라또	A12030324
허니 브레드+생크림	A12030325
애플 시나몬 허니 브레드	A12030326
이탈리안 팡도르	A12030327
